Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeshop.co.uk,totallywicked-eliquid.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeshop.co.uk (pages),totallywicked-eliquid.co.uk (pages),Results
titan vape flavours,Commercial,140,14,0.00,0.00,0,2,12,3,,https://vapeuk.co.uk/titan-10k-rechargeable-disposable-vape-kit,https://www.vapeshop.co.uk/collections/titan-e-liquids,https://www.totallywicked-eliquid.co.uk/e-liquids/ranges/titan,815000
titan x vape pods,"Commercial, Informational",140,6,0.00,0.00,0,2,52,74,,https://vapeuk.co.uk/titan-x-prefilled-pods,https://www.vapeshop.co.uk/collections/titan-x,https://www.totallywicked-eliquid.co.uk/,987000
tobacco flavour disposable vape,Informational,140,7,0.00,0.00,0,5,73,4,,https://vapeuk.co.uk/flavours/cigarette-tobacco,https://www.vapeshop.co.uk/collections/tobacco-pods,https://www.totallywicked-eliquid.co.uk/disposable-vape,3970000
tobacco flavoured vape,Informational,140,9,0.00,0.00,0,2,17,9,,https://vapeuk.co.uk/flavours/cigarette-tobacco,https://www.vapeshop.co.uk/collections/tobacco-pods,https://www.totallywicked-eliquid.co.uk/e-liquids/flavour-types/tobacco,13200000
tobacco vapes,Commercial,140,51,0.00,0.00,0,7,8,15,,https://vapeuk.co.uk/flavours/cigarette-tobacco,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/disposable-vape,20900000
touch screen e cig,Commercial,140,8,0.00,0.00,0,73,66,11,,https://vapeuk.co.uk/geekvape-t200-kit-aegis-touch,https://www.vapeshop.co.uk/products/elfbar-elfx-ultra-kit,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,364000
triple mango,Informational,140,9,0.00,0.01,0,8,18,2,,https://vapeuk.co.uk/bar-juice-5000-triple-mango-nic-salt,https://www.vapeshop.co.uk/products/triple-mango-lost-mary-bm6000-refill-pack,https://www.totallywicked-eliquid.co.uk/triple-mango-lost-mary-bm6000-kit,131000000
twist vapes,Informational,140,8,0.00,0.00,0,10,35,7,,https://vapeuk.co.uk/bloody-mary-bloody-bar-ultra-twist-20k-disposable-kit,https://www.vapeshop.co.uk/collections/pre-filled-pod-kits,https://www.totallywicked-eliquid.co.uk/ivg-2400-4-in-1-disposable-vape,3490000
uk e cig store,Navigational,140,93,0.00,0.00,0,3,24,11,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,3190000
ultra vape,Commercial,140,13,0.00,0.00,0,3,7,10,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/hayati-mini-ultra,https://www.totallywicked-eliquid.co.uk/brands/vltz-ultra,30400000
vape 2 go,Navigational,140,85,0.00,0.00,0,3,61,39,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/vuse-go-disposable-vapes,https://www.totallywicked-eliquid.co.uk/disposable-vape,132000000
vape 88 liquids,"Informational, Transactional",140,30,0.00,0.00,0,42,66,25,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,5
vape bundles,Commercial,140,10,0.00,0.00,0,3,74,20,,https://vapeuk.co.uk/vape-kits/vape-bundle-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/quit-smoking-vape-bundles,4160000
vape clearpay,"Commercial, Informational",140,87,0.00,0.00,0,1,23,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/ske-crystal-bar-disposable-vapes,https://www.totallywicked-eliquid.co.uk/,71
vape co uk,Navigational,140,92,0.00,0.00,0,2,23,15,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,35600000
vape drip tips,Informational,140,5,0.00,0.00,0,21,58,32,,https://vapeuk.co.uk/vape-accessories/drip-tips-and-mouthpieces,https://www.vapeshop.co.uk/collections/drip-tips,https://www.totallywicked-eliquid.co.uk/vaping-accessories/mouthpieces,3850000
vape ik,Navigational,140,97,0.00,0.00,0,1,13,4,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,102000000
vape juice elux,"Commercial, Informational",140,16,0.00,0.00,0,6,43,23,,https://vapeuk.co.uk/e-liquids/elux-nic-salts/elux-legend-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/elux-legend-nic-salt-eliquids,https://www.totallywicked-eliquid.co.uk/e-liquids,1800000
vape kingdom,Commercial,140,16,0.00,0.00,0,2,25,15,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,11700000
vape liquid with nicotine next day delivery,"Commercial, Informational",140,80,0.00,0.00,0,1,45,16,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/delivery,https://www.totallywicked-eliquid.co.uk/,16000000
vape names,"Commercial, Informational",140,14,0.00,0.00,0,97,51,18,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/pages/vape-brands,https://www.totallywicked-eliquid.co.uk/disposable-vape,30000000
vape nic salts,"Commercial, Informational",140,29,0.00,0.00,0,1,17,8,,https://vapeuk.co.uk/e-liquids/nicotine-salt-e-liquids,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/nicotine-salts,3680000
vape nicotine free,Informational,140,12,0.00,0.00,0,4,45,22,,https://vapeuk.co.uk/disposable-vapes/nicotine-free-disposable-vape-kits,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,29000000
vape online shop,Informational,140,84,0.00,0.00,0,6,20,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,159000000
vape pen 3,Informational,140,10,0.00,0.00,0,27,23,1,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/aio-3,36700000
vape prices uk,Transactional,140,86,0.00,0.00,0,2,3,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,11900000
vape products,"Commercial, Informational",140,88,0.00,0.00,0,2,11,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,115000000
vape refill liquid,"Commercial, Informational",140,39,0.00,0.00,0,18,39,7,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/e-liquids,6560000
vape reusable,Commercial,140,20,0.00,0.00,0,4,42,9,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeshop.co.uk/collections/ske-crystal-plus,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,25800000
vape same day delivery near me,Transactional,140,61,0.00,0.00,0,2,50,58,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/delivery,https://www.totallywicked-eliquid.co.uk/,39500000
vape shop kingston,Commercial,140,34,0.00,0.00,0,47,82,62,,https://vapeuk.co.uk/kingston-red-a,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/,1060000
vape shop near me.,Transactional,140,76,0.00,0.00,0,3,4,1,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,https://www.totallywicked-eliquid.co.uk/,93500000
vape shop slough,Commercial,140,22,0.00,0.00,0,39,29,2,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/stores/totally-wicked-slough-e-cig-shop,92
vape starter kit uk,Commercial,140,14,0.00,0.00,0,3,14,7,,https://vapeuk.co.uk/vape-kits/vape-starter-kits,https://www.vapeshop.co.uk/collections/beginner-vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/5-best-vape-starter-kits-for-beginners/,5670000
vape store brighton,Commercial,140,11,0.00,0.00,0,3,60,6,,https://vapeuk.co.uk/vape-shop-brighton,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/stores/brighton-e-cig-shop-vapour-trail,469000
vape store near me now,Transactional,140,50,0.00,0.00,0,11,47,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/pages/vape-shop-outlet-aylesbury,https://www.totallywicked-eliquid.co.uk/stores,8
vape supplies,Commercial,140,84,0.00,0.00,0,4,22,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,16400000
vape vuse,"Informational, Transactional",140,32,0.00,0.00,0,27,8,64,,https://vapeuk.co.uk/vendors/vuse,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,https://www.totallywicked-eliquid.co.uk/,2440000
vape with games,Informational,140,51,0.00,0.00,0,44,93,80,,https://vapeuk.co.uk/disposable-vapes,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,29100000
vape with nicotine,Commercial,140,74,0.00,0.00,0,1,2,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,68100000
vape.liquid,"Commercial, Informational",140,62,0.00,0.00,0,1,27,4,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/new-eliquid,https://www.totallywicked-eliquid.co.uk/,58800000
vapeand go,Navigational,140,37,0.00,0.00,0,25,36,4,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,81
vapes crystal,"Commercial, Informational",140,17,0.00,0.00,0,8,9,4,,https://vapeuk.co.uk/vendors/ske,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/the-ultimate-guide-to-crystal-bar-vapes/,5000000
vapes no nicotine,Informational,140,13,0.00,0.00,0,9,55,24,,https://vapeuk.co.uk/disposable-vapes/nicotine-free-disposable-vape-kits,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,64800000
vapes online store,Informational,140,89,0.00,0.00,0,6,13,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,215000000
vapeuk.co.uk discount code,"Commercial, Informational",140,10,0.00,0.00,0,2,51,29,,https://vapeuk.co.uk/special-offers,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,25000
vaping liquid,Informational,140,55,0.00,0.00,0,1,43,7,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,https://www.totallywicked-eliquid.co.uk/,28400000
vapor cigarette price,Commercial,140,42,0.00,0.00,0,66,42,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,15300000
vapor shop,Commercial,140,89,0.00,0.00,0,16,1,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,98900000
vaporesso battery,Informational,140,15,0.00,0.00,0,20,33,54,,https://vapeuk.co.uk/vaporesso-xros-pro-pod-vape-kit,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,3350000
vaporesso click,"Commercial, Informational",140,9,0.00,0.00,0,4,90,63,,https://vapeuk.co.uk/vaporesso-coss-click-disposable-vape-kit,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,1960000
vaporesso colours,Informational,140,17,0.00,0.00,0,7,36,62,,https://vapeuk.co.uk/vaporesso-xros-4-mini-pod-vape-kit,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,90
vaporesso dojo,"Commercial, Informational",140,7,0.00,0.00,0,7,37,91,,https://vapeuk.co.uk/vaporesso-dojo-blast-6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/vaporesso-dojo-blast,https://www.totallywicked-eliquid.co.uk/,720000
vaporesso pods uk,"Commercial, Informational",140,10,0.00,0.00,0,4,32,15,,https://vapeuk.co.uk/vaporesso-xros-corex-2-0-replacement-pods,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,1940000
vaporesso tank,Commercial,140,9,0.00,0.00,0,50,18,87,,https://vapeuk.co.uk/vaporesso-itank-2,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,3290000
vapour kit,Commercial,140,34,0.00,0.04,0,7,4,3,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,46600000
vapressi,Navigational,140,50,0.00,0.00,0,3,5,12,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,7690000
vaproesso,Navigational,140,60,0.00,0.00,0,2,7,10,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,7010000
view vapes,Commercial,140,18,0.00,0.00,0,6,7,24,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/disposable-vape,16900000
vmt ice flavour,"Commercial, Informational",140,9,0.00,0.00,0,5,12,3,,https://vapeuk.co.uk/ske-crystal-original-salts-v2-vmt-ice-nic-salt,https://www.vapeshop.co.uk/collections/ske-600-pro,https://www.totallywicked-eliquid.co.uk/ske-600-pro-pod-x-2-vmt-ice,75
voopoo drag mini,Informational,140,4,0.00,0.00,0,19,25,87,,https://vapeuk.co.uk/voopoo-drag-s2-pod-vape-kit,https://www.vapeshop.co.uk/collections/voopoo,https://www.totallywicked-eliquid.co.uk/,1720000
voopoo drag x coils,"Commercial, Informational",140,9,0.00,0.00,0,1,81,79,,https://vapeuk.co.uk/voopoo-pnp-x-replacement-coils,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1210000
vuse flavours,Navigational,140,21,0.00,0.02,0,70,23,44,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,https://www.totallywicked-eliquid.co.uk/,1090000
vuse go refill pods,Informational,140,16,0.00,0.78,0,46,8,50,,https://vapeuk.co.uk/vuse-go-reload-1000-pod-kit,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,https://www.totallywicked-eliquid.co.uk/,354000
vuse go vapes,"Informational, Transactional",140,13,0.00,0.00,0,20,4,49,,https://vapeuk.co.uk/vuse-go-edition-01-disposable-vape-kit,https://www.vapeshop.co.uk/collections/vuse-go-disposable-vapes,https://www.totallywicked-eliquid.co.uk/,2040000
vuse refills,"Informational, Transactional",140,16,0.00,0.57,0,92,3,57,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/collections/vuse-eliquid-caps-cartridges,https://www.totallywicked-eliquid.co.uk/,276000
wape shop,Commercial,140,93,0.00,0.00,0,4,1,7,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,135000000
waporesso,Navigational,140,50,0.00,0.00,0,2,7,11,,https://vapeuk.co.uk/vendors/vaporesso,https://www.vapeshop.co.uk/collections/vaporesso,https://www.totallywicked-eliquid.co.uk/,7010000
what age can you buy a vape,Informational,140,6,0.00,0.00,0,23,83,17,,https://vapeuk.co.uk/age-verification-process,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/vaped/vaping-on-holiday-2025/,10
what are nicotine salts,Informational,140,23,0.00,0.00,0,5,28,23,,https://vapeuk.co.uk/e-liquids/nicotine-salt-e-liquids,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/nicotine-salts,10100000
what is a disposable vape,Informational,140,17,0.00,0.00,0,7,9,4,,https://vapeuk.co.uk/disposable-vapes,https://www.vapeshop.co.uk/blogs/news/disposable-vapes-verses-rechargeable-vapes,https://www.totallywicked-eliquid.co.uk/disposable-vape,35000000
what is an elf bar,Informational,140,17,0.00,0.00,0,12,39,35,,https://vapeuk.co.uk/vendors/elf-bar,https://www.vapeshop.co.uk/collections/elf-bar,https://www.totallywicked-eliquid.co.uk/vaped/ultimate-guide-to-elf-bar/,99100000
what is nic salts,Informational,140,29,0.00,0.00,0,5,37,13,,https://vapeuk.co.uk/nic-salts-and-bar-salts-explained,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/nicotine-salts,6560000
what is the highest percentage of nicotine in a vape,Informational,140,22,0.00,0.00,0,79,28,70,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/pages/what-nicotine-strength-e-liquid-do-i-need,https://www.totallywicked-eliquid.co.uk/vaped/how-much-nicotine-is-in-a-cigarette/,2580000
what vape should i buy,Informational,140,16,0.00,0.00,0,2,26,24,,https://vapeuk.co.uk/vape-kits,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/vaped/5-best-vape-starter-kits-for-beginners/,60800000
where buy electronic cigarette,Transactional,140,89,0.00,0.00,0,3,16,8,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,48400000
where can i buy an e cig,Transactional,140,59,0.00,0.00,0,5,27,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,10
where can i buy an electronic cigarette,Transactional,140,58,0.00,0.00,0,8,20,4,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,10
where can i buy e cigarettes,Transactional,140,90,0.00,0.00,0,6,51,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,88600000
where can i buy e cigs,Transactional,140,90,0.00,0.00,0,5,28,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,28800000
where can you buy e cigarettes,Transactional,140,81,0.00,0.00,0,10,32,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/vape-kits,https://www.totallywicked-eliquid.co.uk/,123000000
where can you buy electronic cigarettes,Transactional,140,89,0.00,0.00,0,5,46,4,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,123000000
where do you buy e cigarettes,Transactional,140,90,0.00,0.00,0,7,33,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,28000000
where to buy e cigarettes,Transactional,140,90,0.00,0.00,0,13,41,3,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,96900000
where to buy vapor,Transactional,140,91,0.00,0.00,0,2,10,6,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,47500000
where to purchase vapor cigarettes,Transactional,140,60,0.00,0.00,0,3,16,5,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,10
wholesale vapes uk,Commercial,140,47,0.00,0.00,0,26,88,84,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1820000
wlf bar,Navigational,140,22,0.00,0.00,0,4,12,2,,https://vapeuk.co.uk/vendors/elf-bar,https://www.vapeshop.co.uk/collections/elf-bar,https://www.totallywicked-eliquid.co.uk/brands/elf-bar,91800000
xlim go pods,Commercial,140,5,0.26,0.86,0,3,27,28,,https://vapeuk.co.uk/oxva-xlim-go-pod-vape-kit,https://www.vapeshop.co.uk/products/oxva-xlim-go-pod-kit,https://www.totallywicked-eliquid.co.uk/,10
xros 3 pods,"Commercial, Informational",140,15,0.00,0.01,0,8,66,68,,https://vapeuk.co.uk/vaporesso-xros-3-mini-pod-kit,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,2070000
xros 4 vs xros pro,Commercial,140,8,0.00,0.00,0,17,76,61,,https://vapeuk.co.uk/vaporesso-xros-4-pod-vape-kit,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,2650000
xros mini pod,"Commercial, Informational",140,10,0.00,0.09,0,13,44,93,,https://vapeuk.co.uk/vaporesso-xros-3-mini-pod-kit,https://www.vapeshop.co.uk/products/vaporesso-xros-mini-vape-kit,https://www.totallywicked-eliquid.co.uk/,2060000
zero vape,Commercial,140,8,0.00,0.00,0,45,80,15,,https://vapeuk.co.uk/disposable-vapes/nicotine-free-disposable-vape-kits,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,26300000
0 nicotine e liquid,"Commercial, Informational",110,6,0.00,0.00,0,27,35,8,,https://vapeuk.co.uk/e-liquids,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,20200000
0mg ejuice,"Commercial, Informational",110,9,0.00,0.00,0,66,13,7,,https://vapeuk.co.uk/flavourless-10ml,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,717000
0mg nicotine vape,"Commercial, Informational",110,7,0.00,0.00,0,4,19,17,,https://vapeuk.co.uk/elf-bar-600-disposable-kit-0mg,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,2130000
0mg vape liquid,"Commercial, Informational",110,6,0.00,0.00,0,28,11,7,,https://vapeuk.co.uk/flavourless-10ml,https://www.vapeshop.co.uk/collections/0mg,https://www.totallywicked-eliquid.co.uk/e-liquids/e-liquid-types/zero-nicotine,2270000
1 pound liquids,"Commercial, Navigational",110,34,0.00,0.00,0,67,18,52,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/1-pound-eliquid,https://www.totallywicked-eliquid.co.uk/red-label-e-liquid-american-red-tobacco,6270000
10 elf bars for 20,Commercial,110,6,0.00,0.10,0,10,20,8,,https://vapeuk.co.uk/elf-bar-600-nicotine-free-0mg-10-x-disposable-vape-multipack,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/brands/elf-bar,14400000
10 motives rechargeable electronic cigarette where to buy,Transactional,110,9,0.00,0.00,0,35,15,42,,https://vapeuk.co.uk/10-motives-v2-starter-kit,https://www.vapeshop.co.uk/collections/10-motives,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,58
10000 puff vapes,"Commercial, Informational",110,11,0.00,0.00,0,75,52,13,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/ivg-pro-12,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/kit-types/big-puff-vapes,2320000
5mg disposable vape,Commercial,110,22,0.00,0.00,0,6,77,3,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/disposable-vape,9
600 puff,Informational,110,7,0.00,0.00,0,4,15,11,,https://vapeuk.co.uk/elf-bar-600-prefilled-pod-kit,https://www.vapeshop.co.uk/products/ske-600-pro-prefilled-pod-kit,https://www.totallywicked-eliquid.co.uk/disposable-vape,47800000
af5000 vape,"Commercial, Informational",110,12,0.00,0.00,0,4,59,7,,https://vapeuk.co.uk/elf-bar-af5000-disposable-vape-kit,https://www.vapeshop.co.uk/collections/elf-bar,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits/vape-pod-kits/elf-bar-pod-kits,307000
airfuze vape uk,"Commercial, Informational",110,5,0.00,0.00,0,2,62,25,,https://vapeuk.co.uk/,https://www.vapeshop.co.uk/collections/pre-filled-pod-kits,https://www.totallywicked-eliquid.co.uk/,47000
alternative to vape,Informational,110,13,0.00,0.00,0,1,28,16,,https://vapeuk.co.uk/alternatives,https://www.vapeshop.co.uk/collections/vape-alternatives,https://www.totallywicked-eliquid.co.uk/vaped/disposable-vape-alternatives-preparing-for-the-ban/,40900000
are crystal vapes safe,Informational,110,5,0.00,0.00,0,40,56,7,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeshop.co.uk/collections/disposable-vape-kits,https://www.totallywicked-eliquid.co.uk/vaped/the-ultimate-guide-to-crystal-bar-vapes/,1230000
are lost mary bm6000 refillable,Informational,110,16,0.00,0.00,0,1,22,3,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pods-refill-container,https://www.vapeshop.co.uk/products/pineapple-ice-lost-mary-bm6000-refill-pack,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000-refill,230000
argus bar prime,"Commercial, Informational",110,8,0.00,0.00,0,2,74,67,,https://vapeuk.co.uk/voopoo-argus-bar-prime-prefilled-pod-kit,https://www.vapeshop.co.uk/collections/vape-kits,https://www.totallywicked-eliquid.co.uk/,2470000
argus pro 2 coils,Informational,110,11,0.00,0.00,0,2,87,72,,https://vapeuk.co.uk/voopoo-pnp-x-replacement-coils,https://www.vapeshop.co.uk/,https://www.totallywicked-eliquid.co.uk/,1230000
aspire e cig,Navigational,110,29,0.00,0.00,0,11,19,25,,https://vapeuk.co.uk/vendors/aspire,https://www.vapeshop.co.uk/collections/aspire-vape-kits,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,1610000
aspire pocket x,"Commercial, Informational",110,16,0.00,0.00,0,5,10,88,,https://vapeuk.co.uk/aspire-pockex-kit,https://www.vapeshop.co.uk/products/aspire-pockex-starter-vape-kit,https://www.totallywicked-eliquid.co.uk/,8760000
aspire pockex tank,"Commercial, Informational",110,6,0.00,0.00,0,3,47,80,,https://vapeuk.co.uk/aspire-pockex-replacement-glass-tube,https://www.vapeshop.co.uk/products/aspire-pockex-starter-vape-kit,https://www.totallywicked-eliquid.co.uk/electronic-cigarette-kits,194000
aspire vapes uk,Informational,110,28,0.00,0.00,0,4,35,89,,https://vapeuk.co.uk/vendors/aspire,https://www.vapeshop.co.uk/collections/aspire-vape-kits,https://www.totallywicked-eliquid.co.uk/,1550000
banana volcano lost mary,Informational,110,6,0.00,0.00,0,27,54,8,,https://vapeuk.co.uk/lost-mary-bm6000-prefilled-pod-vape-kit,https://www.vapeshop.co.uk/collections/lost-mary-bm6000,https://www.totallywicked-eliquid.co.uk/lost-mary-bm6000-refill-banana-volcano,615000
bananaice,Informational,110,36,0.00,0.04,0,32,80,18,,https://vapeuk.co.uk/elf-bar-elfliq-banana-ice-nic-salt,https://www.vapeshop.co.uk/products/banana-ice-hayati-pro-max-refill-pack,https://www.totallywicked-eliquid.co.uk/vltz-e-liquid-banana-ice,3500000
bar juice 5 for 10,"Commercial, Informational",110,16,0.00,0.26,0,13,34,52,,https://vapeuk.co.uk/e-liquids/bar-juice-5000-nic-salt-e-liquids,https://www.vapeshop.co.uk/collections/bar-juice-5000-nic-salt-eliquid?page=2,https://www.totallywicked-eliquid.co.uk/,140000000
bar salts vape juice,"Commercial, Informational",110,10,0.00,0.00,0,5,31,67,,https://vapeuk.co.uk/e-liquids/bar-salt-e-liquids,https://www.vapeshop.co.uk/collections/bar-salts-by-vampire-vape,https://www.totallywicked-eliquid.co.uk/,2960000
