Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,vapourism.co.uk,vapeuk.co.uk,vapeclub.co.uk,vapestore.co.uk,vapeshop.co.uk,vapourism.co.uk (pages),vapeuk.co.uk (pages),vapeclub.co.uk (pages),vapestore.co.uk (pages),vapeshop.co.uk (pages),Results
terea device,Informational,140,16,0.00,0.04,0,44,0,0,31,,https://vapeuk.co.uk/alternatives/heated-tobacco,,,https://www.vapeshop.co.uk/collections/iqos,2090000
terea iqos price,Transactional,140,22,0.00,0.00,0,0,0,0,4,,,,,https://www.vapeshop.co.uk/pages/iqos-heets,1670000
terea menthol,Commercial,140,10,0.00,0.10,0,0,0,0,44,,,,,https://www.vapeshop.co.uk/collections/iqos-terea,1530000
terea near me,Transactional,140,26,3.04,0.02,0,0,0,0,29,,,,,https://www.vapeshop.co.uk/collections/iqos,2870000
terea purple,"Informational, Transactional",140,9,0.00,0.04,0,0,0,0,53,,,,,https://www.vapeshop.co.uk/products/mauve-terea-for-iqos-iluma,2310000
terea tesco,,140,26,0.00,0.01,0,37,0,0,0,,https://vapeuk.co.uk/iqos-terea-replacement-sticks,,,,4
terra heated tobacco,Informational,140,24,0.00,0.00,0,21,0,0,14,,https://vapeuk.co.uk/alternatives/heated-tobacco,,,https://www.vapeshop.co.uk/collections/iqos,338000
terrea blue,Informational,140,15,1.46,0.07,0,0,0,0,8,,,,,https://www.vapeshop.co.uk/products/blue-terea-for-iqos-iluma,5510000
tesco vape recycling near me,Transactional,140,30,0.00,0.00,0,55,0,0,0,,https://vapeuk.co.uk/pixl-6000-disposable-kit,,,,8260
tesco velo,"Navigational, Transactional",140,35,1.72,1.00,0,0,42,0,0,,,https://www.vapeclub.co.uk/nicotine-pouches/velo/,,,75
the best electric cigarette,Commercial,140,31,0.00,0.00,0,3,0,22,51,,https://vapeuk.co.uk/vape-kits,,https://www.vapestore.co.uk/collections/vape-kits-mods-vape-kits,https://www.vapeshop.co.uk/collections/vape-kits,129000000
the best electronic cigarettes,Commercial,140,38,0.00,0.00,0,4,52,9,22,,https://vapeuk.co.uk/vape-kits,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/vape-kits-mods-vape-kits,https://www.vapeshop.co.uk/collections/vape-kits,89600000
the blasting shop,Informational,140,10,0.00,0.07,0,0,0,61,0,,,,https://www.vapestore.co.uk/,,10
the crystal bar,"Commercial, Navigational",140,31,0.00,0.00,0,33,4,0,0,,https://vapeuk.co.uk/ske-crystal-bar-disposable-kit,https://www.vapeclub.co.uk/disposable-vape/crystal-bar/,,,413000000
the electronic cigarette company discount code,"Commercial, Informational",140,11,0.00,0.00,0,0,66,12,0,,,https://www.vapeclub.co.uk/e-liquids/4-for-10-deals/,https://www.vapestore.co.uk/pages/vape-discount-codes,,61500000
the grey ox,Informational,140,22,0.00,0.01,0,68,0,0,0,,https://vapeuk.co.uk/hayati-quokka-pro-pod-kit,,,,77
the kings crown,Informational,140,63,0.00,0.22,0,0,59,0,0,,,https://www.vapeclub.co.uk/e-liquids/kings-crown/,,,258000000
the naked grape,Navigational,140,15,0.00,0.01,0,38,0,0,0,,https://vapeuk.co.uk/,,,,10
the red berry club,"Informational, Transactional",140,23,0.00,0.04,0,0,94,0,0,,,https://www.vapeclub.co.uk/nicotine-pouches/zyn/,,,106000000
the royal mail cart,"Informational, Transactional",140,17,0.00,0.07,0,0,62,0,0,,,https://www.vapeclub.co.uk/cart/,,,90
the royal mail track and trace,Navigational,140,66,0.38,0.03,0,50,0,0,0,,https://vapeuk.co.uk/royal-mail-tracked-24-guidelines,,,,16900000
the wattage,Informational,140,23,0.00,0.02,0,58,0,0,0,,https://vapeuk.co.uk/what-is-the-best-wattage-to-vape-at,,,,62200000
the world's largest watermelon,Informational,140,20,0.00,0.00,0,0,97,0,0,,,https://www.vapeclub.co.uk/e-liquids/,,,19100000
thin cigarettes uk,Informational,140,6,0.00,0.00,0,62,79,0,0,,https://vapeuk.co.uk/vape-kits/vape-starter-kits,https://www.vapeclub.co.uk/vape-kits/,,,96
tidal vape chichester,"Navigational, Transactional",140,13,0.00,0.00,0,0,0,30,0,,,,https://www.vapestore.co.uk/pages/store-locations/vapestore-chichester,,2880
tidal vape southampton,Transactional,140,15,0.00,0.00,0,0,0,63,0,,,,https://www.vapestore.co.uk/pages/store-locations/vapestore-southampton,,4640
titan 10k flavours,Commercial,140,9,0.00,0.00,0,2,19,7,88,,https://vapeuk.co.uk/titan-10k-rechargeable-disposable-vape-kit,https://www.vapeclub.co.uk/disposable-vape/titan/mr-titan-10k-disposable-vape,https://www.vapestore.co.uk/products/titan-10k-rechargeable-disposable-vape-kit-20mg,https://www.vapeshop.co.uk/,560000
titan 10k pods refill,"Commercial, Informational",140,8,0.00,0.00,0,2,3,1,45,,https://vapeuk.co.uk/titan-x-prefilled-pods,https://www.vapeclub.co.uk/vape-pods/titan-vape/,https://www.vapestore.co.uk/collections/brands-titan-prefilled-pods,https://www.vapeshop.co.uk/,223000
titan 10k refill pods,"Commercial, Informational",140,9,0.00,0.00,0,2,3,1,78,,https://vapeuk.co.uk/titan-x-prefilled-pods,https://www.vapeclub.co.uk/vape-pods/titan-vape/,https://www.vapestore.co.uk/collections/brands-titan-prefilled-pods,https://www.vapeshop.co.uk/,212000
titan bar calories,Informational,140,13,0.00,0.00,0,38,0,0,0,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,,,,57
titan hide xl,"Commercial, Informational",140,10,0.25,1.00,0,79,0,0,0,,https://vapeuk.co.uk/pod-vape-kits/prefilled-pod-vape-kits,,,,1350000
titan vape 10k,"Commercial, Informational",140,16,0.00,0.00,0,4,14,34,0,,https://vapeuk.co.uk/titan-10k-rechargeable-disposable-vape-kit,https://www.vapeclub.co.uk/disposable-vape/titan/sour-chew-titan-10k-disposable-vape,https://www.vapestore.co.uk/products/titan-10k-rechargeable-disposable-vape-kit-20mg,,742000
titan vape flavours,Commercial,140,14,0.00,0.00,0,2,5,8,12,,https://vapeuk.co.uk/titan-10k-rechargeable-disposable-vape-kit,https://www.vapeclub.co.uk/vape-kits/titan-vape/titan-x-vape-kit,https://www.vapestore.co.uk/collections/brands-titan,https://www.vapeshop.co.uk/collections/titan-e-liquids,815000
titan x vape pods,"Commercial, Informational",140,6,0.00,0.00,0,2,4,3,52,,https://vapeuk.co.uk/titan-x-prefilled-pods,https://www.vapeclub.co.uk/vape-pods/titan-vape/,https://www.vapestore.co.uk/collections/brands-titan-prefilled-pods,https://www.vapeshop.co.uk/collections/titan-x,987000
tobacco 50g,"Commercial, Informational",140,13,0.00,0.00,0,84,0,0,0,,https://vapeuk.co.uk/vape-uk-50-50-rolling-tobacco,,,,86
tobacco delivery near me,Transactional,140,56,0.00,0.00,0,22,40,0,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,,,10
tobacco flavour disposable vape,Informational,140,7,0.00,0.00,0,5,1,27,73,,https://vapeuk.co.uk/flavours/cigarette-tobacco,https://www.vapeclub.co.uk/disposable-vape/tobacco/,https://www.vapestore.co.uk/collections/e-liquids-flavour-type-tobacco,https://www.vapeshop.co.uk/collections/tobacco-pods,3970000
tobacco flavoured vape,Informational,140,9,0.00,0.00,0,2,1,5,17,,https://vapeuk.co.uk/flavours/cigarette-tobacco,https://www.vapeclub.co.uk/vape-pods/tobacco-pods/,https://www.vapestore.co.uk/collections/e-liquids-flavour-type-tobacco,https://www.vapeshop.co.uk/collections/tobacco-pods,13200000
tobacco online shop,Commercial,140,45,0.00,0.00,0,0,40,0,100,,,https://www.vapeclub.co.uk/,,https://www.vapeshop.co.uk/,10
tobacco pouch brands,"Commercial, Informational",140,16,0.00,0.00,0,0,0,0,34,,,,,https://www.vapeshop.co.uk/collections/nicotine-pouches,4400000
tobacco pouch for mouth,Informational,140,54,0.00,0.00,0,0,37,90,0,,,https://www.vapeclub.co.uk/nicotine-pouches/,https://www.vapestore.co.uk/collections/nicotine-pouches,,3200000
tobacco price uk,Commercial,140,20,0.00,0.00,0,94,0,0,0,,https://vapeuk.co.uk/pod-vape-kits,,,,102000000
tobacco replacement,"Commercial, Informational",140,35,0.00,0.00,0,74,0,0,0,,https://vapeuk.co.uk/alternatives,,,,92200000
tobacco vapes,Commercial,140,51,0.00,0.00,0,7,6,9,8,,https://vapeuk.co.uk/flavours/cigarette-tobacco,https://www.vapeclub.co.uk/vape-pods/tobacco-pods/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,20900000
too much nicotine symptoms,Informational,140,67,0.00,0.00,0,51,0,0,0,,https://vapeuk.co.uk/blog/vaping-nicotine-overdose,,,,44400000
top boy kit,Informational,140,34,0.00,0.00,0,37,0,0,0,,https://vapeuk.co.uk/innokin-plexus-pro-pod-kit,,,,10
top rated 18650 battery,Commercial,140,11,0.41,1.00,0,0,68,10,0,,,https://www.vapeclub.co.uk/vape-batteries/18650-size/,https://www.vapestore.co.uk/collections/accessories-batteries-external-batteries-18650,,13900000
topvape,Commercial,140,6,0.00,0.00,0,15,0,0,11,,https://vapeuk.co.uk/vape-kits,,,https://www.vapeshop.co.uk/pages/vape-brands,77
totally wicked maidstone,"Informational, Transactional",140,18,0.00,0.00,0,0,0,0,39,,,,,https://www.vapeshop.co.uk/pages/vape-shop-outlet-maidstone,122000
totally wicked reading,"Informational, Navigational",140,18,0.00,0.00,0,0,0,36,0,,,,https://www.vapestore.co.uk/pages/store-locations/vapestore-reading,,12700000
touch screen e cig,Commercial,140,8,0.00,0.00,0,73,6,2,66,,https://vapeuk.co.uk/geekvape-t200-kit-aegis-touch,https://www.vapeclub.co.uk/vape-mods/touch-screen/,https://www.vapestore.co.uk/collections/vape-kits-mods-vape-kits-advanced-vape-kits,https://www.vapeshop.co.uk/products/elfbar-elfx-ultra-kit,364000
tracked 24 delivery times,Informational,140,25,0.00,0.00,0,9,0,0,0,,https://vapeuk.co.uk/royal-mail-tracked-24-guidelines,,,,690000000
tracked24,"Informational, Transactional",140,24,0.64,0.04,0,6,0,0,0,,https://vapeuk.co.uk/royal-mail-tracked-24-guidelines,,,,3800000000
trinity cream,Informational,140,10,0.00,0.06,0,0,17,0,0,,,https://www.vapeclub.co.uk/e-liquids/red-vape/trinity-creme,,,22100000
triple mango,Informational,140,9,0.00,0.01,0,8,3,1,18,,https://vapeuk.co.uk/bar-juice-5000-triple-mango-nic-salt,https://www.vapeclub.co.uk/vape-pods/lost-mary-pods/bm600-pods/triple-mango-lost-mary-bm600-pod,https://www.vapestore.co.uk/products/elux-legend-triple-mango-nicsalt-eliquid,https://www.vapeshop.co.uk/products/triple-mango-lost-mary-bm6000-refill-pack,131000000
tunes cherry,Informational,140,9,0.00,0.37,0,0,29,0,0,,,https://www.vapeclub.co.uk/e-liquids/scotts/cherry-tunes-twisted-twelve-shortfill,,,10
turkish tobacco,Informational,140,9,0.00,0.00,0,0,12,0,0,,,https://www.vapeclub.co.uk/e-liquids/purity/turkish-tobacco,,,25200000
twilight pearl terea,Informational,140,10,0.00,0.01,0,0,0,0,13,,,,,https://www.vapeshop.co.uk/products/twilight-pearl-for-iqos-iluma,31200
twist ice lolly,Informational,140,14,0.00,0.99,0,0,64,0,0,,,https://www.vapeclub.co.uk/e-liquids/moreish-puff/twister-lollies-nic-salt,,,83500000
twist vapes,Informational,140,8,0.00,0.00,0,10,20,6,35,,https://vapeuk.co.uk/bloody-mary-bloody-bar-ultra-twist-20k-disposable-kit,https://www.vapeclub.co.uk/vape-kits/4-in-1-vapes/,https://www.vapestore.co.uk/collections/brands-twist-eliquid,https://www.vapeshop.co.uk/collections/pre-filled-pod-kits,3490000
twister flavor,"Informational, Transactional",140,13,0.00,1.00,0,0,17,45,0,,,https://www.vapeclub.co.uk/e-liquids/moreish-puff/twister-lollies-nic-salt,https://www.vapestore.co.uk/products/moreish-puff-lollies-twister-shortfill-e-liquid-100ml,,2970000
twisty ice lolly,Informational,140,16,0.00,1.00,0,0,58,76,0,,,https://www.vapeclub.co.uk/e-liquids/moreish-puff/twister-lollies-nic-salt,https://www.vapestore.co.uk/products/moreish-puff-lollies-twister-shortfill-e-liquid-100ml,,1140000
uk area code 01923,"Commercial, Informational",140,16,0.00,0.00,0,0,38,0,0,,,https://www.vapeclub.co.uk/,,,91400
uk banning vapes,Informational,140,53,0.00,0.00,0,43,56,0,0,,https://vapeuk.co.uk/blog/disposable-vape-ban-update,https://www.vapeclub.co.uk/how-to-vape-guide/disposable-vape-ban-2025,,,1760000
uk cannabis card,Informational,140,45,0.00,0.00,0,0,100,0,0,,,https://www.vapeclub.co.uk/,,,24800000
uk e cig store,Navigational,140,93,0.00,0.00,0,3,7,9,24,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,3190000
uk liquid,Navigational,140,53,0.00,0.00,0,2,8,10,0,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/e-liquid,,1140000000
uk vapour waves,Navigational,140,28,0.00,0.00,0,63,0,0,0,,https://vapeuk.co.uk/,,,,87
ultimate vape,"Commercial, Navigational",140,16,0.00,0.00,0,0,31,2,0,,,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/brands-ultimate-puff,,15400000
ultra vape,Commercial,140,13,0.00,0.00,0,3,1,0,7,,https://vapeuk.co.uk/hayati-pro-ultra-plus-25000-prefilled-pod-kit,https://www.vapeclub.co.uk/vape-kits/hyola/hyola-ultra-30k-vape-kit,,https://www.vapeshop.co.uk/collections/hayati-mini-ultra,30400000
unicorn shake,Informational,140,11,0.00,0.00,0,10,2,23,30,,https://vapeuk.co.uk/bar-juice-5000-unicorn-shake-nic-salt,https://www.vapeclub.co.uk/e-liquids/bar-juice-5000/elf-bar-juice-unicorn-shake-nic-salt-e-liquid,https://www.vapestore.co.uk/products/unicon-shake-bar-juice-5000-eliquid-nicsalt,https://www.vapeshop.co.uk/products/unicorn-shake-nic-salt-by-bar-juice-5000,11200000
unicorn shake elux,"Commercial, Informational",140,4,0.00,0.00,0,35,6,37,0,,https://vapeuk.co.uk/bar-juice-5000-unicorn-shake-nic-salt,https://www.vapeclub.co.uk/e-liquids/bar-juice-5000/elf-bar-juice-unicorn-shake-nic-salt-e-liquid,https://www.vapestore.co.uk/products/unicon-shake-bar-juice-5000-eliquid-nicsalt,,75
ursa nano,"Commercial, Informational",140,9,0.00,0.01,0,7,4,2,0,,https://vapeuk.co.uk/lost-vape-ursa-nano-2-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/lost-vape/lost-vape-ursa-nano-3-vape-kit,https://www.vapestore.co.uk/products/lostvape-ursa-nano-pro-pod-kit-25w,,2050000
usb plug for wall,"Informational, Transactional",140,18,0.35,1.00,0,0,0,76,0,,,,https://www.vapestore.co.uk/products/uk-usb-wall-adapter-plug-1,,48300000
usb type c cable near me,Transactional,140,29,0.57,1.00,0,28,0,0,0,,https://vapeuk.co.uk/eleaf-qc-3-0-usb-charging-cable,,,,74
uwell caliburn a2,"Informational, Transactional",140,4,0.00,0.00,0,17,5,1,0,,https://vapeuk.co.uk/uwell-caliburn-a2-replacement-e-liquid-pods,https://www.vapeclub.co.uk/vape-pods/uwell/uwell-caliburn-a2-pod-vape-kit,https://www.vapestore.co.uk/products/uwell-caliburn-a2-pod-kit,,10
uwell caliburn g4,"Commercial, Informational",140,6,0.00,0.00,0,17,1,10,34,,https://vapeuk.co.uk/uwell-caliburn-g4-pod-kit,https://www.vapeclub.co.uk/vape-kits/uwell/uwell-caliburn-g4-vape-kit,https://www.vapestore.co.uk/products/uwell-caliburn-g4-pod-vape-kit,https://www.vapeshop.co.uk/products/uwell-caliburn-g4-kit,754000
uwell g3 pro,"Commercial, Informational",140,11,0.00,0.00,0,1,2,30,52,,https://vapeuk.co.uk/uwell-caliburn-g3-pro-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/uwell/uwell-caliburn-g3-pro-vape-kit,https://www.vapestore.co.uk/products/uwell-caliburn-g3-pro-vape-kit-35w,https://www.vapeshop.co.uk/products/uwell-caliburn-g3-pro-vape-kit,1210000
v prime,"Commercial, Informational",140,9,0.00,0.04,0,1,6,20,0,,https://vapeuk.co.uk/oxva-vprime-pod-vape-kit,https://www.vapeclub.co.uk/vape-kits/oxva/oxva-vprime-vape-kit,https://www.vapestore.co.uk/products/oxva-vprime-pod-kit-60w,,2100000000
v.p.e,Informational,140,22,0.00,0.00,0,27,0,0,0,,https://vapeuk.co.uk/,,,,4460000
v4 vapour,"Commercial, Informational",140,4,0.00,0.00,0,0,4,44,0,,,https://www.vapeclub.co.uk/e-liquids/v4-v4pour/,https://www.vapestore.co.uk/,,96
vake,"Informational, Transactional",140,24,0.00,0.02,0,67,0,0,0,,https://vapeuk.co.uk/,,,,2930000
valyrian 3 tank,Informational,140,7,0.00,0.00,0,25,18,55,0,,https://vapeuk.co.uk/uwell-valyrian-3-replacement-coils,https://www.vapeclub.co.uk/vape-tanks/uwell/uwell-valyrian-3-tank,https://www.vapestore.co.uk/products/valyrian-3-tank-uwell,,300000
vanilla black ice cream,Informational,140,6,0.00,0.07,0,0,35,0,0,,,https://www.vapeclub.co.uk/e-liquids/riot-squad/riot-squad-black-edition-mango-vanilla-ice-cream-e-liquid-100ml,,,134000000
vaoe and go,"Commercial, Navigational",140,95,0.00,0.00,0,3,6,7,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,,178000000
vape 2 go,Navigational,140,85,0.00,0.00,0,3,7,9,61,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/collections/vuse-go-disposable-vapes,132000000
vape 88 discount code,"Commercial, Informational",140,12,0.00,0.00,0,0,43,28,0,,,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/pages/vape-discount-codes,,93
vape 88 liquids,"Informational, Transactional",140,30,0.00,0.00,0,42,10,19,66,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/brands-88vape-eliquid,https://www.vapeshop.co.uk/,5
vape ban uk date,Informational,140,19,0.00,0.00,0,93,57,0,0,,https://vapeuk.co.uk/pod-vape-kits/disposable-vape-alternatives,https://www.vapeclub.co.uk/how-to-vape-guide/disposable-vape-ban-2025,,,10
vape bulk,Commercial,140,41,0.00,0.00,0,83,48,0,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,,,13600000
vape bundles,Commercial,140,10,0.00,0.00,0,3,15,11,74,,https://vapeuk.co.uk/vape-kits/vape-bundle-kits,https://www.vapeclub.co.uk/vape-kits/vape-kit-eliquid-bundles/,https://www.vapestore.co.uk/collections/vape-kit-bundles,https://www.vapeshop.co.uk/,4160000
vape clearpay,"Commercial, Informational",140,87,0.00,0.00,0,1,6,4,23,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/collections/ske-crystal-bar-disposable-vapes,71
vape co uk,Navigational,140,92,0.00,0.00,0,2,3,4,23,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,35600000
vape district,Commercial,140,28,0.00,0.00,0,0,59,71,1,,,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/collections/vape-district,11700000
vape drip tips,Informational,140,5,0.00,0.00,0,21,12,9,58,,https://vapeuk.co.uk/vape-accessories/drip-tips-and-mouthpieces,https://www.vapeclub.co.uk/vaping-accessories/drip-tips/,https://www.vapestore.co.uk/collections/vape-accessories-drip-tips,https://www.vapeshop.co.uk/collections/drip-tips,3850000
vape flavours uk,"Commercial, Informational",140,49,0.00,0.00,0,1,5,12,42,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/e-liquid,https://www.vapeshop.co.uk/collections/new-eliquid,3540000
vape ik,Navigational,140,97,0.00,0.00,0,1,2,12,13,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,102000000
vape juice elux,"Commercial, Informational",140,16,0.00,0.00,0,6,3,17,43,,https://vapeuk.co.uk/e-liquids/elux-nic-salts/elux-legend-nic-salt-e-liquids,https://www.vapeclub.co.uk/e-liquids/elux/,https://www.vapestore.co.uk/collections/brands-elux-disposables-legend-eliquid,https://www.vapeshop.co.uk/collections/elux-legend-nic-salt-eliquids,1800000
vape kingdom,Commercial,140,16,0.00,0.00,0,2,13,17,25,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,11700000
vape laws uk,Informational,140,36,0.00,0.00,0,30,0,0,0,,https://vapeuk.co.uk/blog/disposable-vape-ban-update,,,,3520000
vape liquid amazon,"Navigational, Transactional",140,29,0.00,0.00,0,25,13,30,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/e-liquid,,88
vape liquid with nicotine amazon,"Navigational, Transactional",140,30,0.00,0.00,0,16,9,0,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,,,92
vape liquid with nicotine next day delivery,"Commercial, Informational",140,80,0.00,0.00,0,1,2,15,45,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/collections/e-liquid,https://www.vapeshop.co.uk/pages/delivery,16000000
vape names,"Commercial, Informational",140,14,0.00,0.00,0,97,39,67,51,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeclub.co.uk/vape-pods/brands/,https://www.vapestore.co.uk/collections/vape-kits-mods-vape-kits,https://www.vapeshop.co.uk/pages/vape-brands,30000000
vape nic salts,"Commercial, Informational",140,29,0.00,0.00,0,1,3,12,17,,https://vapeuk.co.uk/e-liquids/nicotine-salt-e-liquids,https://www.vapeclub.co.uk/e-liquids/salt-nicotine/,https://www.vapestore.co.uk/collections/e-liquid-vape-type-nicotine-salts-e-liquid,https://www.vapeshop.co.uk/collections/nicotine-salts-eliquid,3680000
vape nicotine free,Informational,140,12,0.00,0.00,0,4,28,26,45,,https://vapeuk.co.uk/disposable-vapes/nicotine-free-disposable-vape-kits,https://www.vapeclub.co.uk/e-liquids/guides/best-nicotine-free-vapes,https://www.vapestore.co.uk/collections/e-liquid-nicotine-free,https://www.vapeshop.co.uk/collections/0mg,29000000
vape online shop,Informational,140,84,0.00,0.00,0,6,5,2,20,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,159000000
vape pen 3,Informational,140,10,0.00,0.00,0,27,17,8,23,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/vape-pods/vaporesso/vaporesso-xros-3-vape-kit,https://www.vapestore.co.uk/products/vaporesso-xros-3-pod-kit,https://www.vapeshop.co.uk/collections/disposable-vape-kits,36700000
vape prices uk,Transactional,140,86,0.00,0.00,0,2,6,12,3,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,11900000
vape products,"Commercial, Informational",140,88,0.00,0.00,0,2,5,4,11,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,115000000
vape refill liquid,"Commercial, Informational",140,39,0.00,0.00,0,18,8,1,39,,https://vapeuk.co.uk/e-liquids,https://www.vapeclub.co.uk/vape-kits/refillable-pods/,https://www.vapestore.co.uk/collections/e-liquid,https://www.vapeshop.co.uk/,6560000
vape reusable,Commercial,140,20,0.00,0.00,0,4,3,1,42,,https://vapeuk.co.uk/pod-vape-kits/refillable-pod-vape-kits,https://www.vapeclub.co.uk/vape-kits/refillable-pods/,https://www.vapestore.co.uk/collections/vape-kits-mods-pod-vape-kits-refillable-pod-kits,https://www.vapeshop.co.uk/collections/ske-crystal-plus,25800000
vape same day delivery near me,Transactional,140,61,0.00,0.00,0,2,7,0,50,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,,https://www.vapeshop.co.uk/pages/delivery,39500000
vape scene uk,Navigational,140,31,0.00,0.00,0,22,27,24,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,,95
vape shop bexleyheath,Commercial,140,14,0.00,0.00,0,0,0,0,21,,,,,https://www.vapeshop.co.uk/,20400
vape shop birmingham city centre,Commercial,140,20,0.00,0.00,0,0,0,0,28,,,,,https://www.vapeshop.co.uk/pages/store-locator,193000
vape shop blyth,Commercial,140,19,0.00,0.00,0,0,0,0,23,,,,,https://www.vapeshop.co.uk/,22700
vape shop bolton,Commercial,140,40,0.00,0.00,0,0,0,54,0,,,,https://www.vapestore.co.uk/,,98
vape shop canterbury,Commercial,140,11,0.00,0.00,0,0,0,50,57,,,,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,156000
vape shop croydon,Commercial,140,18,0.00,0.00,0,0,0,2,42,,,,https://www.vapestore.co.uk/pages/store-locations/vapestore-croydon,https://www.vapeshop.co.uk/,198000
vape shop dartford,Commercial,140,14,0.00,0.00,0,0,62,0,42,,,https://www.vapeclub.co.uk/,,https://www.vapeshop.co.uk/,68
vape shop dumfries,Commercial,140,13,0.00,0.00,0,0,0,0,22,,,,,https://www.vapeshop.co.uk/,27800
vape shop dundee,Commercial,140,39,0.00,0.00,0,0,0,79,60,,,,https://www.vapestore.co.uk/pages/store-locator,https://www.vapeshop.co.uk/pages/store-locator,383000
vape shop eastleigh,Commercial,140,10,0.00,0.00,0,0,35,38,51,,,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/pages/store-locations/vapestore-southampton,https://www.vapeshop.co.uk/pages/store-locator,90
vape shop enfield,Commercial,140,9,0.00,0.00,0,0,0,0,53,,,,,https://www.vapeshop.co.uk/pages/store-locator,477000
vape shop falkirk,Commercial,140,15,0.00,0.00,0,0,0,0,62,,,,,https://www.vapeshop.co.uk/pages/store-locator,10300
vape shop grays,Commercial,140,11,0.00,0.00,0,0,0,0,1,,,,,https://www.vapeshop.co.uk/pages/vape-shop-outlet-grays,100
vape shop hanley,Commercial,140,15,0.00,0.00,0,0,0,0,43,,,,,https://www.vapeshop.co.uk/pages/store-locator,10
vape shop kingston,Commercial,140,34,0.00,0.00,0,47,0,6,82,,https://vapeuk.co.uk/kingston-red-a,,https://www.vapestore.co.uk/blogs/vapestore-news/visit-a-virtual-vape-shop-in-kingston,https://www.vapeshop.co.uk/pages/store-locator,1060000
vape shop lancaster,Commercial,140,9,0.00,0.00,0,0,0,56,51,,,,https://www.vapestore.co.uk/pages/store-locator,https://www.vapeshop.co.uk/pages/store-locator,446000
vape shop long eaton,Commercial,140,13,0.00,0.00,0,24,32,0,0,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,,,138000
vape shop loughborough,Commercial,140,9,0.00,0.00,0,0,37,40,33,,,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,28200
vape shop near me.,Transactional,140,76,0.00,0.00,0,3,11,6,4,,https://vapeuk.co.uk/,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/pages/store-locator,93500000
vape shop newbury,Commercial,140,9,0.00,0.00,0,0,0,38,26,,,,https://www.vapestore.co.uk/pages/store-locations/vapestore-bracknell,https://www.vapeshop.co.uk/,79100
vape shop perth,Commercial,140,11,0.00,0.00,0,0,37,85,23,,,https://www.vapeclub.co.uk/,https://www.vapestore.co.uk/,https://www.vapeshop.co.uk/,88
vape shop pontypridd,Commercial,140,19,0.00,0.00,0,0,44,0,0,,,https://www.vapeclub.co.uk/,,,52
